Event Name,Date Start,Date End,Country,City,Venue,Category,Focus Areas,Estimated Size,Ticket Type,Website URL,Source Platform,Notes
WORKSHOP | INTRO TO KINKS (ALL GENDERS),2026-05-19,2026-05-19,Singapore,Singapore,100 Peck Seah St,Event,,,,https://www.eventbrite.sg/e/workshop-intro-to-kinks-all-genders-tickets-1982762035623,Eventbrite,
Batik Painting on Handkerchief - Art Workshop 蜡染手帕绘画工作坊 (Wed.周三),2026-05-20,2026-05-20,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/batik-painting-on-handkerchief-art-workshop-wed-tickets-1984118052506,Eventbrite,
Chinese Ink Painting - Art Workshop Experience 水墨画绘画工作坊 (Wed.周三）,2026-05-20,2026-05-20,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/chinese-ink-painting-art-workshop-experience-wed-tickets-1984251139573,Eventbrite,
Manga Drawing - Art Workshop Experience 动漫绘画工作坊 (Wed.周三）,2026-05-20,2026-05-20,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/manga-drawing-art-workshop-experience-wed-tickets-1984269165489,Eventbrite,
Urban Sketching - Singapore Shophouse w. Watercolour Painting 城市速写(Wed.周三),2026-05-20,2026-05-20,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/urban-sketching-singapore-shophouse-w-watercolour-painting-wed-tickets-1984126602078,Eventbrite,
Chinese Idioms & Calligraphy Writing - Art Workshop 成语书法绘画工作坊(Wed),2026-05-20,2026-05-20,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/chinese-idioms-calligraphy-writing-art-workshop-wed-tickets-1984278038027,Eventbrite,
Manga Drawing - Art Workshop Experience 动漫绘画工作坊,2026-05-20,2026-05-20,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/manga-drawing-art-workshop-experience-tickets-1984537080831,Eventbrite,
Traditional Tanjore painting classes,2026-05-20,2026-05-20,Singapore,Singapore,220 Westwood Ave,Event,,,,https://www.eventbrite.sg/e/traditional-tanjore-painting-classes-tickets-1980936134303,Eventbrite,
Manga Drawing - Art Workshop Experience 动漫绘画工作坊 (Thur.周四）,2026-05-21,2026-05-21,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/manga-drawing-art-workshop-experience-thur-tickets-1984269734190,Eventbrite,
Craft Your Perfect Morning: How to Create a Blueprint for a Productive Day,2026-05-22,2026-05-22,Singapore,Singapore,Hybrid Event: Singapore,Event,,,,https://www.eventbrite.sg/e/craft-your-perfect-morning-how-to-create-a-blueprint-for-a-productive-day-tickets-1596231594669,Eventbrite,
Manga Drawing - Art Workshop Experience 动漫绘画工作坊 (Fri.周五）,2026-05-22,2026-05-22,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/manga-drawing-art-workshop-experience-fri-tickets-1984271123345,Eventbrite,
"Harmony of Gratitude: Soundbath with Singing Bowls, Ocean Drum + Rainstick",2026-05-22,2026-05-22,Singapore,Singapore,SPACE2B,Event,,,,https://www.eventbrite.sg/e/harmony-of-gratitude-soundbath-with-singing-bowls-ocean-drum-rainstick-tickets-1971573604725,Eventbrite,
Jazzing Around at The Capitol Jazz Club,2026-05-22,2026-05-22,Singapore,Singapore,17 Stamford Rd,Event,,,,https://www.eventbrite.sg/e/jazzing-around-at-the-capitol-jazz-club-tickets-1987306602545,Eventbrite,
Bitcoin Pizza Day 2026,2026-05-22,2026-05-22,Malaysia,Kuala Lumpur,1More Pizza • Taman Paramount PJ,Event,,,,https://www.eventbrite.com/e/bitcoin-pizza-day-2026-tickets-1988552140984,Eventbrite,
Acrylic Landscape Painting for Beginner- Art Workshop  丙烯绘画工作坊(Sat-Sun),2026-05-23,2026-05-23,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/acrylic-landscape-painting-for-beginner-art-workshop-sat-sun-tickets-1984116054530,Eventbrite,
Chinese Ink Painting - Art Workshop Experience 水墨画绘画工作坊 (Sat-Sun 周六周日）,2026-05-23,2026-05-23,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/chinese-ink-painting-art-workshop-experience-sat-sun-tickets-1984253010168,Eventbrite,
Manga Drawing - Art Workshop Experience 动漫绘画工作坊 (Sat-Sun）,2026-05-23,2026-05-23,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/manga-drawing-art-workshop-experience-sat-sun-tickets-1984271694052,Eventbrite,
Discover an Exclusive Laguna Phuket Property Showcase at Fairmont Singapore,2026-05-23,2026-05-24,Singapore,Singapore,"Fairmont Singapore, Orchard room (4F)",Event,,,,https://www.eventbrite.com/e/discover-an-exclusive-laguna-phuket-property-showcase-at-fairmont-singapore-tickets-1989138490772,Eventbrite,
Tantra Massage (Group) Training Course,2026-05-23,2026-05-23,Singapore,Singapore,SPACE2B,Event,,,,https://www.eventbrite.sg/e/tantra-massage-group-training-course-tickets-1978081478952,Eventbrite,
NeuroBody Her Reset Workshop,2026-05-23,2026-05-23,Singapore,Singapore,Bhumi Lifestyle Singapore,Event,,,,https://www.eventbrite.sg/e/neurobody-her-reset-workshop-tickets-1989214428905,Eventbrite,
Pearl Appreciation Workshop,2026-05-23,2026-05-23,Singapore,Singapore,OUE Downtown Gallery,Event,,,,https://www.eventbrite.sg/e/pearl-appreciation-workshop-tickets-1985415772020,Eventbrite,
Urban Sketching - Singapore Shophouse with Watercolour Painting,2026-05-23,2026-05-23,Singapore,Singapore,20B Mosque St,Event,,,,https://www.eventbrite.sg/e/urban-sketching-singapore-shophouse-with-watercolour-painting-tickets-1983191201269,Eventbrite,
