Event Name,Date Start,Date End,Country,City,Venue,Category,Focus Areas,Estimated Size,Ticket Type,Website URL,Source Platform,Notes
Stress & Resilience in Challenging Times by A/Prof Faith Chia,2026-05-23,2026-05-23,Singapore,Singapore,Brahm Centre @ Labrador,Event,,,,https://www.eventbrite.sg/e/stress-resilience-in-challenging-times-by-aprof-faith-chia-registration-1988292933688,Eventbrite,
Parent-child bloombox school holidays workshop,2026-05-30,2026-05-30,Singapore,Singapore,Evangel Hub,Event,,,,https://www.eventbrite.com/e/parent-child-bloombox-school-holidays-workshop-tickets-1988399246673,Eventbrite,
Urban Sustainability Bike Tour,2026-05-30,2026-05-30,Singapore,Singapore,Telok Ayer MRT Station (DT18),Event,,,,https://www.eventbrite.sg/e/urban-sustainability-bike-tour-tickets-1989064369072,Eventbrite,
World Cities Summit,2026-06-14,2026-06-16,Singapore,Singapore,Suntec Singapore Convention & Exhibition Centre,Event,,,,https://www.eventbrite.sg/e/world-cities-summit-registration-1982878781814,Eventbrite,
Durian Buffet at FairPrice Xtra Parkway Parade,2026-06-19,2026-06-19,Singapore,Singapore,FairPrice Xtra Parkway Parade,Event,,,,https://www.eventbrite.sg/e/durian-buffet-at-fairprice-xtra-parkway-parade-tickets-1989375906890,Eventbrite,
Yoga Gives Back Charity Fundraiser,2026-06-21,2026-06-21,Singapore,Singapore,Yoga Seeds Shala,Event,,,,https://www.eventbrite.com/e/yoga-gives-back-charity-fundraiser-registration-1989894419776,Eventbrite,
Durian Buffet at FairPrice Xtra VivoCity,2026-06-26,2026-06-26,Singapore,Singapore,FairPrice Xtra VivoCity,Event,,,,https://www.eventbrite.sg/e/durian-buffet-at-fairprice-xtra-vivocity-tickets-1988380211739,Eventbrite,
Kopi with Sustainability 2026,2026-06-27,2026-06-27,Singapore,Singapore,Singapore Sustainability Academy,Event,,,,https://www.eventbrite.sg/e/kopi-with-sustainability-2026-tickets-1989628189474,Eventbrite,
4th Global Summit for Mental Health Advocates and 2nd Youth Summit,2026-07-04,2026-07-04,Singapore,Singapore,PSB Academy City Campus: Main Wing,Event,,,,https://www.eventbrite.sg/e/4th-global-summit-for-mental-health-advocates-and-2nd-youth-summit-tickets-1982006543927,Eventbrite,
Konsert Suaramu Syairku,2026-07-11,2026-07-11,Malaysia,Kuala Lumpur,Auditorium Seri Angkasa,Event,,,,https://www.eventbrite.com/e/konsert-suaramu-syairku-tickets-1989814319193,Eventbrite,
5th Singapore Pastors Conference 2026: Revelation & Union with Christ,2026-07-21,2026-07-22,Singapore,Singapore,Zion Bishan Bible-Presbyterian Church,Event,,,,https://www.eventbrite.sg/e/5th-singapore-pastors-conference-2026-revelation-union-with-christ-tickets-1979843514247,Eventbrite,
Singapore Healthcare Sustainability Symposium (SHSS) 2026,2026-10-27,2026-10-27,Singapore,Singapore,Woodlands Hospital,Event,,,,https://www.eventbrite.com/e/singapore-healthcare-sustainability-symposium-shss-2026-tickets-1989898409710,Eventbrite,
